Canonical_SMILES,Predicted_logIC50_uM,Predicted_IC50_uM,Predicted_pIC50,drug_like,has_spiro_motif,novel_scaffold,max_sim_to_seriesCE,mw,logp,hbd,hba,rot_bonds,tpsa,murcko_scaffold
CCCCCCC#Cc1cncc(N2CC3(CCN(C4CC4)CC3)OC2=O)c1,0.6264,4.2303,5.3736,1,0,1,0.4625,381.52,4.36,0,4,6,45.67,O=C1OC2(CCN(C3CC3)CC2)CN1c1cccnc1
N#Cc1cccc(OCCCN2CCC3(CC2)C(=O)NCN3c2cccnc2)c1,0.627,4.2361,5.373,1,0,1,0.2346,391.48,2.15,1,6,6,81.49,O=C1NCN(c2cccnc2)C12CCN(CCCOc1ccccc1)CC2
CCCCCCCCCCCCCCCCCC(=O)ON=C1CC2CCCC2CC1c1ccc(OC)cc1,0.6285,4.2515,5.3715,0,0,1,0.1848,525.82,10.15,0,4,19,47.89,N=C1CC2CCCC2CC1c1ccccc1
Cc1ccc(C(=O)N2CC3(CCN(c4ccc(C#N)c(C(F)(F)F)c4)C3)C2)cc1C,0.6343,4.308,5.3657,1,0,1,0.3625,413.44,4.55,0,3,2,47.34,O=C(c1ccccc1)N1CC2(CCN(c3ccccc3)C2)C1
Cc1[nH]c2cc(F)ccc2c1C1CCN(CCCN2C(=O)c3ccccc3C2=O)CC1,0.6422,4.3877,5.3578,1,0,1,0.1714,419.5,4.48,1,3,5,56.41,O=C1c2ccccc2C(=O)N1CCCN1CCC(c2c[nH]c3ccccc23)CC1
COCC(=O)N1CCCC2(CCN(c3cncc(OCC4CCC4)c3)C2)C1,0.6446,4.4114,5.3554,1,0,1,0.3973,373.5,2.73,0,5,6,54.9,c1ncc(N2CCC3(CCCNC3)C2)cc1OCC1CCC1
COC(=O)COc1cc(OCC2CO2)cc2oc(-c3ccc([N+](=O)[O-])cc3)cc(=O)c12,0.6536,4.5038,5.3464,1,0,1,0.1553,427.37,2.7,0,9,8,130.64,O=c1cc(-c2ccccc2)oc2cc(OCC3CO3)ccc12
CC(=O)c1ccc(CN2C3CCCC2CC(NC(=O)Nc2cccc(C(C)=O)c2)C3)cc1,0.658,4.5496,5.342,1,0,1,0.1443,433.55,4.8,2,4,6,78.51,O=C(Nc1ccccc1)NC1CC2CCCC(C1)N2Cc1ccccc1
N#Cc1cccc(NC(=O)NC2CC3CCC(C2)N3CCc2cncc(F)c2)c1,0.667,4.6447,5.333,1,0,1,0.1935,393.47,3.45,2,4,5,81.05,O=C(Nc1ccccc1)NC1CC2CCC(C1)N2CCc1cccnc1
CCC1CCCCN1C(=O)c1cc2c(n(Cc3ccc(F)cc3)c1=O)CCN(Cc1ccc(C)cc1C)C2,0.6833,4.8223,5.3167,0,0,1,0.1553,515.67,5.62,0,3,6,45.55,O=C(c1cc2c(n(Cc3ccccc3)c1=O)CCN(Cc1ccccc1)C2)N1CCCCC1
N#Cc1ccc(F)cc1N1CC2(Cc3sc(NC(=O)c4ccccc4OCO)c(C#N)c3C2)C1,0.6912,4.9111,5.3088,1,0,1,0.202,474.52,3.82,2,7,5,109.38,O=C(Nc1cc2c(s1)CC1(C2)CN(c2ccccc2)C1)c1ccccc1
Cc1ccc(C(=O)Nc2cccc(NC(=S)NC(=O)c3cc(OC(C)C)cc([N+](=O)[O-])c3)c2)cc1[N+](=O)[O-],0.6983,4.9928,5.3017,0,0,1,0.1895,537.55,4.98,3,8,8,165.74,O=C(NC(=S)Nc1cccc(NC(=O)c2ccccc2)c1)c1ccccc1
CCn1c(SCC(=O)NC2C3CC4CC(C3)CC2C4)nnc1C1CCCCC1,0.7009,5.0222,5.2991,1,0,1,0.1158,402.61,4.38,1,4,6,59.81,O=C(CSc1nnc(C2CCCCC2)[nH]1)NC1C2CC3CC(C2)CC1C3
COc1ccc2c(C#CCCCCCCCCO)c(-c3cccc(O)c3)n(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)c2c1,0.7018,5.033,5.2982,0,0,1,0.233,576.67,6.24,2,7,12,131.9,O=S(=O)(c1ccccc1)n1c(-c2ccccc2)cc2ccccc21
Cc1oc(CN(C)c2ccc(N(C)Cc3ccc(F)cc3)c3ccncc23)cc1C(=O)O,0.7027,5.0428,5.2973,0,0,1,0.1977,433.48,5.25,1,5,7,69.81,c1ccc(CNc2ccc(NCc3ccco3)c3cnccc23)cc1
O=C(OCC1(C2CCCCC2)c2ccccc2C(=O)N1CCc1ccccc1)c1cccc(Cl)c1,0.7092,5.1192,5.2908,0,0,1,0.2245,488.03,6.67,0,3,7,46.61,O=C(OCC1(C2CCCCC2)c2ccccc2C(=O)N1CCc1ccccc1)c1ccccc1
COc1cncc(N2CCCC3(CCN(C(=O)c4cnccn4)C3)C2)c1,0.7139,5.1751,5.2861,1,0,1,0.4,353.43,2.01,0,6,3,71.45,O=C(c1cnccn1)N1CCC2(CCCN(c3cccnc3)C2)C1
COc1ccnc(N2CCC3(CCN(C(=O)c4cncnc4C)C3)C2)c1,0.7139,5.1751,5.2861,1,0,1,0.32,353.43,1.93,0,6,3,71.45,O=C(c1cncnc1)N1CCC2(CCN(c3ccccn3)C2)C1
CCCCOc1ccc(S(=O)(=O)n2cc(N3CCCC(NC(C)=O)C3)c3ccccc32)cc1,0.7177,5.2208,5.2823,1,0,1,0.19,469.61,4.16,1,5,8,80.64,O=S(=O)(c1ccccc1)n1cc(N2CCCCC2)c2ccccc21
CC(=O)c1cc(Cc2ncc(CCOCCCOc3ccccc3N3CCCCC3)o2)c2ccccc2c1,0.7177,5.2208,5.2823,0,0,1,0.2115,512.65,6.64,0,6,12,64.8,c1ccc(N2CCCCC2)c(OCCCOCCc2cnc(Cc3cccc4ccccc34)o2)c1
CC1CCN(c2cc(C3CCN(C(=O)c4cccnc4)C3)ncn2)CC1,0.7248,5.3065,5.2752,1,0,1,0.2299,351.45,2.74,0,5,3,62.22,O=C(c1cccnc1)N1CCC(c2cc(N3CCCCC3)ncn2)C1
Cc1ccccc1Oc1ccc(Cl)cc1NC(=O)COc1c(C)cc(Br)cc1C,0.7251,5.3102,5.2749,0,0,1,0.1481,474.78,6.84,1,3,6,47.56,O=C(COc1ccccc1)Nc1ccccc1Oc1ccccc1
COc1ccc(C)cc1CNCc1ccc(Cl)c(OCc2ccccc2Cl)c1,0.7277,5.3421,5.2722999999999995,0,0,1,0.102,416.35,6.18,1,3,8,30.49,c1ccc(CNCc2cccc(OCc3ccccc3)c2)cc1
O=C(c1cc(COc2ccc(F)cc2F)on1)N1CC2(COC2)COc2cccnc21,0.73,5.3701,5.27,1,0,1,0.1895,429.38,2.98,0,7,4,86.92,O=C(c1cc(COc2ccccc2)on1)N1CC2(COC2)COc2cccnc21
N#Cc1ccc(Cn2cc(C(=O)C(=O)c3cc4cccnc4n3S(=O)(=O)c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,0.7351,5.4332,5.2649,0,0,1,0.1905,589.59,5.12,0,8,8,157.96,O=C(C(=O)c1cc2cccnc2n1S(=O)(=O)c1ccccc1)c1cn(Cc2ccccc2)c2ccccc12
Cc1cc(C2CC2)c(-c2cc(C3CNC3)[nH]n2)cc1C(=O)N1CC(F)(c2ccc(C#N)cc2)C1,0.7356,5.4405,5.2644,1,0,1,0.1759,455.54,4.14,2,4,5,84.81,O=C(c1ccc(C2CC2)c(-c2cc(C3CNC3)[nH]n2)c1)N1CC(c2ccccc2)C1
CC(=O)N1CC(NC(=O)c2ccc3cc(Oc4ncc(C(F)(F)F)cn4)ccc3n2)C1,0.7367,5.454,5.2633,1,0,1,0.1758,431.37,2.8,1,6,4,97.31,O=C(NC1CNC1)c1ccc2cc(Oc3ncccn3)ccc2n1
CCCCCCCCCN1CCC2C(CCN3CCCCC23)C1c1ccccc1,0.7376,5.4647,5.2623999999999995,0,0,1,0.1633,396.66,6.67,0,2,9,6.48,c1ccc(C2NCCC3C2CCN2CCCCC32)cc1
COc1ccc(N2C(=O)CCc3c(N4CCCCC4)nc(N4CCCCC4)nc32)cc1,0.7376,5.4647,5.2623999999999995,1,0,1,0.1579,421.55,4.08,0,6,4,61.8,O=C1CCc2c(N3CCCCC3)nc(N3CCCCC3)nc2N1c1ccccc1
N#Cc1ccc(N=c2nc(C3CCCN(C(=O)c4ccccc4-c4ccc(F)cn4)C3)cc[nH]2)cn1,0.7376,5.4648,5.2623999999999995,1,0,1,0.1635,479.52,4.13,1,6,4,110.92,O=C(c1ccccc1-c1ccccn1)N1CCCC(c2cc[nH]c(=Nc3cccnc3)n2)C1
CC1(C)CN(c2cc(N3CCC(O)CC3)ccc2[N+](=O)[O-])C1,0.743,5.5337,5.257,1,0,1,0.2468,305.38,2.4,1,5,3,69.85,c1cc(N2CCCCC2)cc(N2CCC2)c1
Cn1cnc2c1CN(Cc1ccc3c(c1)OCO3)CC2COCC1CC1,0.7437,5.5427,5.2562999999999995,1,0,1,0.2041,355.44,2.67,0,5,6,48.75,c1nc2c([nH]1)CN(Cc1ccc3c(c1)OCO3)CC2COCC1CC1
COc1ccc2[nH]cc(CCCNCC3CCCCC3)c2c1,0.7452,5.5621,5.2548,1,0,1,0.2062,300.45,4.28,2,2,7,37.05,c1ccc2c(CCCNCC3CCCCC3)c[nH]c2c1
Cc1ccc(CNC(=O)C2=Cc3cc(C)ccc3C23CCC(C(C)(C)C)CC3)cc1,0.7454,5.5635,5.2546,0,0,1,0.172,401.59,6.49,1,1,3,29.1,O=C(NCc1ccccc1)C1=Cc2ccccc2C12CCCCC2
O=[N+]([O-])OCc1ccc2c(c1)N(Cc1ccccc1)C(N1CC3(CCOC3)C1)=NS2(=O)=O,0.749,5.6108,5.251,1,0,1,0.2188,458.5,2.18,0,8,5,114.58,O=S1(=O)N=C(N2CC3(CCOC3)C2)N(Cc2ccccc2)c2ccccc21
O=C(C=C1CCCC2CCCCC12)CSc1nnc(-c2ccc3c(c2)OCCO3)o1,0.7502,5.6255,5.2498000000000005,0,0,1,0.1524,426.54,5.09,0,7,5,74.45,O=C(C=C1CCCC2CCCCC12)CSc1nnc(-c2ccc3c(c2)OCCO3)o1
Cc1oc(-c2ccccc2F)cc1CCOc1cccc(CN(CCCCCC(=O)O)C2CCCCC2)c1,0.7502,5.6264,5.2498000000000005,0,0,1,0.1892,521.67,7.8,1,4,14,62.91,c1ccc(-c2cc(CCOc3cccc(CNC4CCCCC4)c3)co2)cc1
O=C(c1ccc([N+](=O)[O-])cc1)N1CCC2(C1)CN(c1ccccc1)C2,0.7517,5.6457,5.2483,1,0,1,0.5156,337.38,2.95,0,4,3,66.69,O=C(c1ccccc1)N1CCC2(C1)CN(c1ccccc1)C2
O=C(c1cc2ccncc2o1)N1CCc2ccc(OC3CCNC3)cc2C1,0.7552,5.6913,5.2448,1,0,1,0.1731,363.42,2.77,1,5,3,67.6,O=C(c1cc2ccncc2o1)N1CCc2ccc(OC3CCNC3)cc2C1
Cc1cc(Nc2ccc3c(c2)OCO3)cn2c(C)c(C3CC3)nc12,0.7552,5.6913,5.2448,1,0,1,0.1828,321.38,4.3,1,4,3,47.79,c1cc2c(cc1Nc1ccc3nc(C4CC4)cn3c1)OCO2
COc1ccc(N=c2[nH]c(Cl)nc3ccccc23)cc1CN1CCC(O)C1,0.7552,5.6913,5.2448,1,0,1,0.1748,384.87,3.02,2,5,4,73.74,c1cc(CN2CCCC2)cc(N=c2[nH]cnc3ccccc23)c1
COC1CCC(NC(=O)C2CCN(Cc3cccc(NC(=O)c4ccc(C#N)cn4)c3)CC2)CC1,0.7612,5.7697,5.2388,1,0,1,0.1981,475.59,3.49,2,6,7,107.35,O=C(Nc1cccc(CN2CCC(C(=O)NC3CCCCC3)CC2)c1)c1ccccn1
Cc1ccc(C)c(C2=NN(C(=O)NCCC3CCN(c4ncccn4)CC3)CC2)c1,0.7642,5.8108,5.2358,1,0,1,0.17,406.53,3.52,1,5,5,73.72,O=C(NCCC1CCN(c2ncccn2)CC1)N1CCC(c2ccccc2)=N1
O=C(COc1ccccc1)N1CCCCC1c1cc(-c2ccccn2)[nH]c(=NN2CCCC2)n1,0.7653,5.8246,5.2347,1,0,1,0.1915,458.57,3.52,1,6,6,86.71,O=C(COc1ccccc1)N1CCCCC1c1cc(-c2ccccn2)[nH]c(=NN2CCCC2)n1
CC1CN(c2ccc(C=Cc3cccc(Oc4ccccc4)c3)o2)CC(C)O1,0.7655,5.8282,5.2345,0,0,1,0.163,375.47,5.86,0,4,5,34.84,C(=Cc1ccc(N2CCOCC2)o1)c1cccc(Oc2ccccc2)c1
c1ccc(C2CCN(c3nccc(-c4ccc5c(c4)OCO5)n3)CC2)cc1,0.7655,5.8282,5.2345,1,0,1,0.1957,359.43,4.26,0,5,3,47.48,c1ccc(C2CCN(c3nccc(-c4ccc5c(c4)OCO5)n3)CC2)cc1
COc1ccccc1C(=O)N(Cc1ccccc1Br)C1CCCCC1,0.7671,5.8498,5.2329,0,0,1,0.1558,402.33,5.43,0,2,5,29.54,O=C(c1ccccc1)N(Cc1ccccc1)C1CCCCC1
CCCCCCNc1cc(C(=O)N2CCC3(CC2)N=C(c2cccc([N+](=O)[O-])c2)C(=O)N3)cc(C(C)(C)C)c1,0.7715,5.9084,5.2285,0,0,1,0.3107,533.67,5.44,2,6,9,116.94,O=C1NC2(CCN(C(=O)c3ccccc3)CC2)N=C1c1ccccc1
COc1ccc(N2CCC3(CCC(=O)N(C4CC4)C3)c3c(C)ccnc32)cc1,0.7743,5.9464,5.2257,1,0,1,0.1786,377.49,3.96,0,4,3,45.67,O=C1CCC2(CCN(c3ccccc3)c3ncccc32)CN1C1CC1
COCC1CN(c2cc3c(cn2)CCN(C(=O)c2cc4cc(Cl)ccc4[nH]2)C3)C1,0.7743,5.9464,5.2257,1,0,1,0.2157,410.91,3.5,1,4,4,61.46,O=C(c1cc2ccccc2[nH]1)N1CCc2cnc(N3CCC3)cc2C1
COc1ccc(C2CN(C(=O)CN3CCC(c4ccccc4)CC3)N=C2c2ccc(C)cc2)cc1,0.7756,5.9647,5.2244,0,0,1,0.1818,467.61,5.21,0,4,6,45.14,O=C(CN1CCC(c2ccccc2)CC1)N1CC(c2ccccc2)C(c2ccccc2)=N1
N#Cc1ccc(-n2nc(C(=O)O)cc2-c2ccc(N3CC4(CCNCC4)C3)cc2)cc1,0.7756,5.9647,5.2244,1,0,1,0.2817,413.48,3.3,2,5,4,94.18,c1ccc(-n2nccc2-c2ccc(N3CC4(CCNCC4)C3)cc2)cc1
CCN(CC)CCOC(O)c1cc(O)n(N2C(=O)c3c(OC)cc(OC)c(C)c3C2=O)c1,0.7764,5.9758,5.2236,1,0,1,0.11,447.49,1.8,2,8,10,113.7,O=C1c2ccccc2C(=O)N1n1cccc1
CCCOc1ccc2nc(-c3ccco3)cc(C(=O)NCC3CCNCC3)c2c1,0.7764,5.9762,5.2236,1,0,1,0.1481,393.49,4.01,2,5,7,76.39,O=C(NCC1CCNCC1)c1cc(-c2ccco2)nc2ccccc12
CC(=O)c1c2cc3c(c(C)c4c-2c([nH]c(=CCC(C)C)c4=O)oc1O)OCC3,0.7766,5.9785,5.2234,1,0,1,0.1182,381.43,3.49,2,5,3,92.53,C=c1[nH]c2occc3cc4c(cc(c2-3)c1=O)OCC4
Cc1c[n+](Cc2cc(N(C)C)ccc2OCCC2COc3ccccc3O2)cs1,0.7777,5.9943,5.2223,1,0,1,0.1193,411.55,4.07,0,5,7,34.81,c1ccc(OCCC2COc3ccccc3O2)c(C[n+]2ccsc2)c1
Cc1ccc(N=C(NC#N)Nc2ccc(C(=O)N3CCC4(CC3)OCCO4)c(Cl)c2)cc1,0.7804,6.0305,5.2196,1,0,1,0.1636,453.93,3.8,2,5,3,98.98,O=C(c1ccc(NC=Nc2ccccc2)cc1)N1CCC2(CC1)OCCO2
CC(C)CC(=O)N(CCN1C2CCC1CC(c1ccc(O)cc1)C2)CC1CCCC1,0.784,6.0813,5.216,0,0,1,0.1313,412.62,5.17,1,3,8,43.78,c1ccc(C2CC3CCC(C2)N3CCNCC2CCCC2)cc1
CC(C)CN(Cc1cccc(C#N)c1)C(=O)C1CCN(Cc2cc3c(cc2Cl)OCO3)C1,0.7846,6.0894,5.2154,1,0,1,0.1963,453.97,4.45,0,5,7,65.8,O=C(NCc1ccccc1)C1CCN(Cc2ccc3c(c2)OCO3)C1
Cn1nc(Cc2ccccc2)cc(N2CCC3(CN(Cc4cccc(F)c4F)C3)C2)c1=O,0.7846,6.0894,5.2154,1,0,1,0.2632,436.51,3.36,0,4,5,41.37,O=c1[nH]nc(Cc2ccccc2)cc1N1CCC2(CN(Cc3ccccc3)C2)C1
FC(F)(F)COc1cnc(N2CCC3(CN(Cc4ccccc4)C3)C2)c(Cl)c1,0.7846,6.0894,5.2154,1,0,1,0.2989,411.86,4.39,0,4,5,28.6,c1ccc(CN2CC3(CCN(c4ccccn4)C3)C2)cc1
COc1ccc2cccc(C(=O)N3CC4(CCN(c5cncc(C#CC6CC6)c5)C4)C3)c2c1,0.7846,6.0894,5.2154,1,1,1,0.4872,437.54,4.36,0,4,3,45.67,O=C(c1cccc2ccccc12)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1
CCOC(=O)c1c(-c2sccc2NC(=O)c2ccccc2[N+](=O)[O-])[nH]c2ccc(C)cc2c1=O,0.7849,6.0941,5.2151,1,0,1,0.1624,477.5,4.9,2,7,6,131.4,O=C(Nc1ccsc1-c1cc(=O)c2ccccc2[nH]1)c1ccccc1
COc1ccc(S(=O)(=O)Nc2ccc(C#CCCN3CCC(Cc4ccccc4)CC3)cc2[N+](=O)[O-])cc1,0.7877,6.1336,5.2123,0,0,1,0.2353,533.65,5.1,1,6,9,101.78,O=S(=O)(Nc1ccc(C#CCCN2CCC(Cc3ccccc3)CC2)cc1)c1ccccc1
COc1ccc(C(SCCN)(c2ccccc2)c2cccs2)cc1,0.7879,6.1365,5.2120999999999995,1,0,1,0.122,355.53,4.74,1,4,7,35.25,c1ccc(C(c2ccccc2)c2cccs2)cc1
CC(C)Oc1ccc(-n2nnc3c2CCN(c2ncccc2C#N)C3)cc1C#N,0.789,6.1513,5.211,1,0,1,0.1474,385.43,2.76,0,7,4,103.65,c1ccc(-n2nnc3c2CCN(c2ccccn2)C3)cc1
CCc1ccccc1N1N=Nc2sc3c(c2N=NN3Cc2ccccc2)C1=N,0.7928,6.2065,5.2072,0,0,1,0.1579,387.47,6.17,1,7,4,79.77,N=C1c2c3sc(c2N=NN3Cc2ccccc2)N=NN1c1ccccc1
O=C(NC1CC1)c1ccnc(N2CCCC(C(=O)c3ccc(F)cc3)C2)c1,0.7933,6.2134,5.2067,1,0,1,0.2024,367.42,3.21,1,4,5,62.3,O=C(NC1CC1)c1ccnc(N2CCCC(C(=O)c3ccccc3)C2)c1
O=C(CCCc1c[nH]c2ccccc12)NCC1(N2CCCCC2)CCCCC1,0.7955,6.2441,5.2045,1,0,1,0.3333,381.56,4.8,2,2,7,48.13,O=C(CCCc1c[nH]c2ccccc12)NCC1(N2CCCCC2)CCCCC1
O=C(N=c1[nH]cc[nH]1)C1(CCCCCCN2CCC(c3ccccc3)CC2)CCOC1,0.7955,6.2441,5.2045,1,0,1,0.18,424.59,4.01,2,3,9,73.48,O=C(N=c1[nH]cc[nH]1)C1(CCCCCCN2CCC(c3ccccc3)CC2)CCOC1
